msl_height_m,z_factor,area_m2,volume_m3
489.54,1,300775.25974925,1625463.7590197
489.53,1,300621.71354971,1622456.7729032
489.52,1,300468.72284037,1619451.3170382
489.51,1,300316.29618762,1616447.3000027
489.5,1,300164.52862608,1613444.9319478
489.49,1,300013.27591264,1610444.0173448
489.48,1,299862.58622433,1607444.5930314
489.47,1,299712.50264577,1604446.718559
489.46,1,299562.93609427,1601450.3446648
489.45,1,299413.77408838,1598455.4724356
489.44,1,299264.86806599,1595462.0162961
489.43,1,299115.74350962,1592470.1267521
489.42,1,298964.85865004,1589479.7778056
489.41,1,298806.56880161,1586490.9615755
489.4,1,298551.84888222,1583503.9153768
489.39,1,296838.12705051,1580534.3602253
489.38,1,296660.45488627,1577566.834908
489.37,1,296487.22539002,1574601.0268989
489.36,1,296316.63673656,1571636.9871561
489.35,1,296148.24972432,1568674.6777429
489.34,1,295981.95013476,1565714.0163252
489.33,1,295817.76531035,1562754.9976601
489.32,1,295655.50279618,1559797.5867666
489.31,1,295495.20580661,1556841.798732
489.3,1,295336.9574098,1553887.6114458
489.29,1,295180.7245822,1550934.9520858
489.28,1,295026.38830911,1547983.8767252
489.27,1,294874.00895345,1545034.3582924
489.26,1,294723.85654548,1542086.3609643
489.25,1,294575.62108547,1539139.8888638
489.24,1,294429.47474265,1536194.8351113
489.23,1,294285.58589725,1533251.225472
489.22,1,294144.15364712,1530308.9801397
489.21,1,294005.70773941,1527368.2205112
489.2,1,293447.44491384,1524428.7714924
489.19,1,293343.90033394,1521494.7669134
489.18,1,293251.32336933,1518561.7284057
489.17,1,293160.71954251,1515629.6565953
489.16,1,293071.14192562,1512698.4514312
489.15,1,292982.29930869,1509768.1303155
489.14,1,292894.00726849,1506838.6950446
489.13,1,292806.26614796,1503910.109441
489.12,1,292719.10653711,1500982.4454629
489.11,1,292632.50123871,1498055.6269737
489.1,1,292546.4304882,1495129.7332866
489.09,1,292460.80522782,1492204.696838
489.08,1,292375.64253937,1489280.5058131
489.07,1,292291.02279983,1486357.15604
489.06,1,292206.87485341,1483434.6079881
489.05,1,292123.19478133,1480512.9900536
489.04,1,292039.94859637,1477592.1420387
489.03,1,291957.11114446,1474672.1813453
489.02,1,291874.74683421,1471753.0165594
489.01,1,291792.88645025,1468834.6627917
489,1,291711.39380187,1465917.183056
488.99,1,291629.97569635,1463000.4388212
488.98,1,291549.89354212,1460084.4867828
488.97,1,291470.2555432,1457169.3844267
488.96,1,291390.88598792,1454255.069173
488.95,1,291311.6870993,1451341.5620411
488.94,1,291232.68019669,1448428.8738585
488.93,1,291153.86466753,1445516.8740723
488.92,1,291075.24987627,1442605.7158012
488.91,1,290996.79863944,1439695.2819464
488.9,1,290918.55314856,1436785.673304
488.89,1,290840.48570156,1433876.8830075
488.88,1,290762.57673596,1430968.8174983
488.87,1,290684.87634716,1428061.5598544
488.86,1,290607.31934,1425155.0669105
488.85,1,290529.93706361,1422249.3957137
488.84,1,290452.7388562,1419344.4679611
488.83,1,290375.70003922,1416440.2927267
488.82,1,290298.82125685,1413536.9222839
488.81,1,290222.06524005,1410634.2644526
488.8,1,290145.45393881,1407732.4119656
488.79,1,290069.0159094,1404831.3032069
488.78,1,289992.86630174,1401930.957596
488.77,1,289916.86606616,1399031.4112872
488.76,1,289840.96597849,1396132.6544669
488.75,1,289765.19390197,1393234.6316031
488.74,1,289689.54640971,1390337.3398593
488.73,1,289614.00595039,1387440.8647572
488.72,1,289538.5927502,1384545.0927503
488.71,1,289463.3326396,1381650.0718537
488.7,1,289388.16373181,1378755.8348425
488.69,1,289313.10567084,1375862.3110327
488.68,1,289238.15997566,1372969.6331738
488.67,1,289163.29959511,1370077.6250882
488.66,1,289088.54970741,1367186.3441058
488.65,1,289013.89596013,1364295.8432313
488.64,1,288939.37116718,1361406.0363445
488.63,1,288864.96946686,1358517.038647
488.62,1,288790.65623378,1355628.7252792
488.61,1,288716.49204944,1352741.2664207
488.6,1,288642.4211695,1349854.4726447
488.59,1,288568.41107267,1346968.4341843
488.58,1,288494.53020499,1344083.1401392
488.57,1,288420.71944385,1341198.5610089
488.56,1,288346.94793099,1338314.7585372
488.55,1,288273.22328119,1335431.6181384
488.54,1,288199.48631077,1332549.2248697
488.53,1,288125.72253006,1329667.5174676
488.52,1,288051.94501232,1326786.6239291
488.51,1,287978.23913128,1323906.4862618
488.5,1,287904.55626254,1321027.0312113
488.49,1,287830.86405806,1318148.339866
488.48,1,287757.17404858,1315270.4238604
488.47,1,287683.45844586,1312393.2419617
488.46,1,287609.7106869,1309516.809464
488.45,1,287535.99554177,1306641.1109467
488.44,1,287462.26540637,1303766.0916421
488.43,1,287388.57911332,1300891.8656056
488.42,1,287314.93462473,1298018.3973408
488.41,1,287241.32668643,1295145.6276492
488.4,1,287167.67560693,1292273.5687561
488.39,1,287093.57679141,1289402.2576915
488.38,1,287020.05793831,1286531.7077254
488.37,1,286946.62747896,1283661.8768048
488.36,1,286873.17889566,1280792.7929993
488.35,1,286799.69033225,1277924.4814024
488.34,1,286726.19515601,1275056.8270583
488.33,1,286652.69483421,1272189.9929577
488.32,1,286579.22636461,1269323.884438
488.31,1,286505.73053673,1266458.5017737
488.3,1,286432.19649884,1263593.7947883
488.29,1,286358.65906681,1260729.8334769
488.28,1,286285.10943089,1257866.6622628
488.27,1,286211.53946767,1255004.1894374
488.26,1,286137.91690328,1252142.4398658
488.25,1,286064.28357239,1249281.492802
488.24,1,285990.62279611,1246421.226797
488.23,1,285916.94988703,1243561.7561632
488.22,1,285843.24276401,1240702.9354506
488.21,1,285769.3985177,1237844.9247253
488.2,1,285695.12168083,1234987.6051075
488.19,1,285620.51532037,1232130.9755797
488.18,1,285545.98593812,1229275.2022775
488.17,1,285471.22160124,1226420.1259185
488.16,1,285396.33741178,1223565.809459
488.15,1,285321.30360704,1220712.271714
488.14,1,285246.06360085,1217859.4908138
488.13,1,285170.67810988,1215007.4152285
488.12,1,285095.12718348,1212156.1084126
488.11,1,285019.42912216,1209305.6026243
488.1,1,284943.58593494,1206455.7766028
488.09,1,284867.56256565,1203606.7585447
488.08,1,284791.35073667,1200758.448846
488.07,1,284714.95540404,1197910.9776409
488.06,1,284638.35864121,1195064.256667
488.05,1,284561.50293566,1192218.2930639
488.04,1,284484.4042323,1189373.1169256
488.03,1,284406.99369313,1186528.7602684
488.02,1,284329.14208786,1183685.132906
488.01,1,284250.51517619,1180842.294821
488,1,284166.87304389,1178000.2126779
487.99,1,284054.6801257,1175159.2721641
487.98,1,283974.51429756,1172319.1797687
487.97,1,283894.57149218,1169479.8090294
487.96,1,283814.62714279,1166641.2531513
487.95,1,283734.64744922,1163803.4734427
487.94,1,283654.60187453,1160966.5046478
487.93,1,283574.52701316,1158130.4347302
487.92,1,283494.43609172,1155295.1114673
487.91,1,283414.34544935,1152460.5816635
487.9,1,283334.1830403,1149626.9079951
487.89,1,283254.03528894,1146794.0362833
487.88,1,283173.84580159,1143961.9491158
487.87,1,283093.57159222,1141130.632228
487.86,1,283013.20280717,1138300.1160035
487.85,1,282932.67745358,1135470.3793102
487.84,1,282851.99464939,1132641.507246
